task_priority,task_duration,deadline_hours,slot_start_hour,slot_duration,preferred_start_hour,day_of_week,is_weekend,repeated_task,reminder_exists,category,duration_fit,user_available,before_deadline,valid_slot,preferred_time_match,priority_score,deadline_pressure,duration_efficiency,suitability_score
2,30,120,8,120,19,1,1,0,1,5,1,1,1,1,0.06392786120670757,0.4,0.2857142857142857,0.25,0.2663576920645267
3,30,154,11,120,16,6,1,0,0,0,1,1,1,1,0.2865047968601901,0.6,0.08333333333333337,0.25,0.3183670817666819
2,45,167,6,180,6,1,1,0,1,0,1,1,1,1,1.0,0.4,0.005952380952380931,0.25,0.44506935368114403
3,30,76,6,150,19,3,1,0,0,3,1,1,1,1,0.06392786120670757,0.6,0.5476190476190477,0.2,0.3755988255876038
4,30,49,6,180,20,2,0,1,1,0,1,1,1,1,0.0820849986238988,0.8,0.7083333333333333,0.16666666666666666,0.6252318149794243
3,60,112,8,120,16,4,1,0,1,5,1,1,1,1,0.1353352832366127,0.6,0.33333333333333337,0.5,0.36797089006742617
3,30,98,9,180,13,1,0,0,1,4,1,1,1,1,0.36787944117144233,0.6,0.41666666666666663,0.16666666666666666,0.49289176553131736
4,60,130,7,60,12,0,0,0,1,5,1,1,1,1,0.2865047968601901,0.8,0.22619047619047616,1.0,0.49587896652080704
2,45,51,7,180,8,6,0,0,1,0,1,1,1,1,0.7788007830714049,0.4,0.6964285714285714,0.25,0.5927813429811357
1,60,45,6,180,19,5,1,1,0,2,1,1,1,1,0.06392786120670757,0.2,0.7321428571428572,0.3333333333333333,0.2904380453347947
3,45,129,6,150,16,1,0,0,0,1,1,1,1,1,0.0820849986238988,0.6,0.2321428571428571,0.3,0.36698202421242065
4,120,144,8,120,10,6,0,0,0,5,1,1,1,1,0.6065306597126334,0.8,0.1428571428571429,1.0,0.523639521117018
2,45,86,6,60,6,1,1,0,0,5,1,1,1,1,1.0,0.4,0.48809523809523814,0.75,0.561378706892888
3,60,132,9,150,13,4,0,0,1,2,1,1,1,1,0.36787944117144233,0.6,0.2142857142857143,0.4,0.4117923219704319
2,30,122,6,60,7,1,1,0,1,1,1,1,1,1,0.7788007830714049,0.4,0.27380952380952384,0.5,0.49851115171770927
2,45,121,9,180,8,2,1,0,0,2,1,1,1,1,0.7788007830714049,0.4,0.27976190476190477,0.25,0.41076485825541403
2,45,57,7,90,16,0,1,0,0,0,1,1,1,1,0.10539922456186433,0.4,0.6607142857142857,0.5,0.4100272252677875
2,30,161,8,90,19,6,1,1,1,0,1,1,1,1,0.06392786120670757,0.4,0.04166666666666663,0.3333333333333333,0.23905747559232754
5,30,145,11,45,10,6,0,0,1,1,1,1,1,1,0.7788007830714049,1.0,0.13690476190476186,0.6666666666666666,0.6358698033881505
3,45,138,11,90,6,5,0,0,1,5,1,1,1,1,0.2865047968601901,0.6,0.1785714285714286,0.5,0.3925398779548096
2,120,64,6,150,12,6,1,1,0,5,1,1,1,1,0.22313016014842982,0.4,0.6190476190476191,0.8,0.4560853476674695
4,90,137,7,150,12,1,0,0,0,5,1,1,1,1,0.2865047968601901,0.8,0.18452380952380953,0.6,0.4231229035107632
4,60,167,10,90,7,2,0,1,0,0,1,1,1,1,0.4723665527410147,0.8,0.005952380952380931,0.6666666666666666,0.42674709233993796
1,45,140,9,45,17,2,1,1,1,2,1,1,1,1,0.1353352832366127,0.2,0.16666666666666663,1.0,0.22355138663631247
1,90,139,10,120,7,2,0,0,1,3,1,1,1,1,0.4723665527410147,0.2,0.17261904761904767,0.75,0.32750686778659205
4,30,96,9,120,18,0,0,0,1,0,1,1,1,1,0.10539922456186433,0.8,0.4285714285714286,0.25,0.5218600811078807
5,120,89,6,150,10,0,0,1,0,5,1,1,1,1,0.36787944117144233,1.0,0.47023809523809523,0.8,0.636286998015098
5,150,133,8,180,13,0,1,0,0,2,1,1,1,1,0.2865047968601901,1.0,0.20833333333333337,0.8333333333333334,0.4790561901132196
5,90,82,6,180,20,3,1,1,0,0,1,1,1,1,0.0820849986238988,1.0,0.5119047619047619,0.5,0.5714912891950347
3,30,48,7,150,8,6,0,1,0,0,1,1,1,1,0.7788007830714049,0.6,0.7142857142857143,0.2,0.6330811319826677
5,90,165,9,180,15,2,1,0,1,1,1,1,1,1,0.22313016014842982,1.0,0.017857142857142905,0.5,0.50024787687872
4,45,86,6,180,10,2,0,0,0,5,1,1,1,1,0.36787944117144233,0.8,0.48809523809523814,0.25,0.5325219152462721
3,30,155,8,60,11,4,1,0,0,5,1,1,1,1,0.4723665527410147,0.6,0.07738095238095233,0.5,0.38434295050826334
2,45,133,9,150,20,5,1,1,0,1,1,1,1,1,0.06392786120670757,0.4,0.20833333333333337,0.3,0.22461071430546253
5,45,161,7,180,17,5,1,1,0,3,1,1,1,1,0.0820849986238988,1.0,0.04166666666666663,0.25,0.4076736207377538
3,30,42,6,180,6,0,0,0,0,5,1,1,1,1,1.0,0.6,0.75,0.16666666666666666,0.704874395911525
1,30,74,7,60,6,3,1,0,1,2,1,1,1,1,0.7788007830714049,0.2,0.5595238095238095,0.5,0.489880463595563
2,60,128,10,180,8,4,0,0,0,3,1,1,1,1,0.6065306597126334,0.4,0.23809523809523814,0.3333333333333333,0.3722572516066568
4,45,157,9,45,6,6,1,0,0,3,1,1,1,1,0.4723665527410147,0.8,0.06547619047619047,1.0,0.47863957913635496
5,60,140,8,150,18,0,1,0,0,0,1,1,1,1,0.0820849986238988,1.0,0.16666666666666663,0.4,0.4611352267341986
1,30,91,6,45,7,3,0,0,0,2,1,1,1,1,0.7788007830714049,0.2,0.45833333333333337,0.6666666666666666,0.4172877568008623
4,60,74,8,150,7,5,1,1,1,5,1,1,1,1,0.7788007830714049,0.8,0.5595238095238095,0.4,0.7467586377183398
4,30,166,8,180,12,2,1,0,1,5,1,1,1,1,0.36787944117144233,0.8,0.011904761904761862,0.16666666666666666,0.4148790814157704
3,30,149,7,150,18,6,1,0,1,0,1,1,1,1,0.06392786120670757,0.6,0.11309523809523814,0.2,0.3014934796800661
4,120,100,8,180,14,1,0,0,1,0,1,1,1,1,0.22313016014842982,0.8,0.40476190476190477,0.6666666666666666,0.5094731014695707
4,120,104,6,150,19,5,1,0,1,1,1,1,1,1,0.06392786120670757,0.8,0.38095238095238093,0.8,0.46370956289590454
1,30,53,6,60,16,0,0,0,1,3,1,1,1,1,0.0820849986238988,0.2,0.6845238095238095,0.5,0.36255130227311505
3,60,97,6,150,9,2,1,0,1,0,1,1,1,1,0.4723665527410147,0.6,0.42261904761904767,0.4,0.5225380499143534
1,45,162,11,120,17,1,0,0,0,4,1,1,1,1,0.22313016014842982,0.2,0.0357142857142857,0.375,0.15291601231794447
3,150,139,7,180,20,5,1,0,0,4,1,1,1,1,0.06392786120670757,0.6,0.17261904761904767,0.8333333333333334,0.3601361129014933
4,45,91,8,45,17,1,1,0,0,2,1,1,1,1,0.10539922456186433,0.8,0.45833333333333337,1.0,0.4628988669799967
1,45,146,8,45,11,2,0,0,0,1,1,1,1,1,0.4723665527410147,0.2,0.13095238095238093,1.0,0.27158111911945
3,45,47,7,180,22,3,0,0,1,5,1,1,1,1,0.10539922456186433,0.6,0.7202380952380952,0.25,0.4715088632301653
1,30,127,10,45,9,4,0,0,0,2,1,1,1,1,0.7788007830714049,0.2,0.24404761904761907,0.6666666666666666,0.3483565863868079
3,60,116,9,90,19,3,0,1,0,2,1,1,1,1,0.0820849986238988,0.6,0.30952380952380953,0.6666666666666666,0.35459462298483235
2,90,111,7,180,8,1,0,1,0,3,1,1,1,1,0.7788007830714049,0.4,0.3392857142857143,0.5,0.4830614177774975
2,45,126,9,90,6,5,1,0,1,3,1,1,1,1,0.4723665527410147,0.4,0.25,0.5,0.3746122086902975
3,90,146,7,120,21,4,1,1,1,5,1,1,1,1,0.0820849986238988,0.6,0.13095238095238093,0.75,0.4100561009395919
2,30,127,9,150,11,1,1,0,0,0,1,1,1,1,0.6065306597126334,0.4,0.24404761904761907,0.2,0.35211619925726184
2,30,165,9,45,18,3,0,0,0,3,1,1,1,1,0.10539922456186433,0.4,0.017857142857142905,0.6666666666666666,0.21098510830136277
2,30,163,7,180,7,5,1,0,0,3,1,1,1,1,1.0,0.4,0.029761904761904767,0.16666666666666666,0.41688506281617016
4,60,99,8,180,18,1,0,0,1,3,1,1,1,1,0.0820849986238988,0.8,0.4107142857142857,0.3333333333333333,0.47409021941170165
3,60,117,8,180,17,3,1,1,1,4,1,1,1,1,0.10539922456186433,0.6,0.3035714285714286,0.3333333333333333,0.3611650813300564
5,45,95,7,150,10,1,1,0,0,2,1,1,1,1,0.4723665527410147,1.0,0.43452380952380953,0.3,0.6150999738424531
4,45,139,7,45,13,1,0,0,1,5,1,1,1,1,0.22313016014842982,0.8,0.17261904761904767,1.0,0.49794998265189266
2,30,164,7,150,16,1,1,0,1,4,1,1,1,1,0.10539922456186433,0.4,0.023809523809523836,0.2,0.21622491019913714
4,120,133,6,150,8,0,0,0,0,3,1,1,1,1,0.6065306597126334,0.8,0.20833333333333337,0.8,0.5181352358504412
2,90,122,9,120,14,3,0,1,0,1,1,1,1,1,0.2865047968601901,0.4,0.27380952380952384,0.75,0.36134445172439017
5,45,159,8,150,15,1,1,0,0,1,1,1,1,1,0.17377394345044514,1.0,0.0535714285714286,0.3,0.4143323457888679
3,45,44,7,45,10,4,1,0,0,1,1,1,1,1,0.4723665527410147,0.6,0.7380952380952381,1.0,0.5511165729093986
1,120,123,9,150,22,4,0,1,1,5,1,1,1,1,0.06392786120670757,0.2,0.2678571428571429,0.8,0.27183526266023383
3,45,80,6,90,19,6,1,0,0,2,1,1,1,1,0.06392786120670757,0.6,0.5238095238095238,0.5,0.4113552576200318
1,60,94,8,60,15,1,1,1,0,1,1,1,1,1,0.17377394345044514,0.2,0.44047619047619047,1.0,0.320601052817646
3,30,67,8,180,14,2,0,1,0,3,1,1,1,1,0.22313016014842982,0.6,0.6011904761904762,0.16666666666666666,0.44973128975996324
4,120,167,8,150,14,3,0,0,0,4,1,1,1,1,0.22313016014842982,0.8,0.005952380952380931,0.8,0.3959726215775444
4,180,166,9,180,8,2,0,0,0,4,1,1,1,1,0.7788007830714049,0.8,0.011904761904761862,1.0,0.5072071282328585
5,30,168,12,120,15,3,0,0,0,1,1,1,1,1,0.4723665527410147,1.0,0.0,0.25,0.5113978905688833
1,120,160,7,150,16,2,1,0,1,0,1,1,1,1,0.10539922456186433,0.2,0.04761904761904767,0.8,0.1708591973548735
3,60,108,6,120,14,6,0,0,0,4,1,1,1,1,0.1353352832366127,0.6,0.3571428571428571,0.5,0.3556225093592226
3,30,28,6,180,15,6,1,0,0,1,1,1,1,1,0.10539922456186433,0.6,0.8333333333333334,0.16666666666666666,0.5106020998490173
1,120,132,9,150,6,6,1,1,1,1,1,1,1,1,0.4723665527410147,0.2,0.2142857142857143,0.8,0.36472086431939854
1,45,89,6,60,8,6,1,1,0,4,1,1,1,1,0.6065306597126334,0.2,0.47023809523809523,0.75,0.4381423996079283
3,45,72,8,90,10,2,1,0,0,4,1,1,1,1,0.6065306597126334,0.6,0.5714285714285714,0.5,0.5409475727880362
3,30,94,7,30,6,1,0,0,0,0,1,1,1,1,0.7788007830714049,0.6,0.44047619047619047,1.0,0.5688750415780575
4,45,90,9,120,20,2,0,0,0,2,1,1,1,1,0.06392786120670757,0.8,0.4642857142857143,0.375,0.44510389015447693
4,30,93,6,150,19,3,1,0,0,3,1,1,1,1,0.06392786120670757,0.8,0.4464285714285714,0.2,0.47745876878602694
4,150,156,8,180,22,3,0,0,1,5,1,1,1,1,0.0820849986238988,0.8,0.0714285714285714,0.8333333333333334,0.33989470895815793
3,45,76,6,180,9,6,1,0,0,5,1,1,1,1,0.4723665527410147,0.6,0.5476190476190477,0.25,0.5325367831160079
1,30,111,7,30,22,6,0,0,1,1,1,1,1,1,0.10539922456186433,0.2,0.3392857142857143,1.0,0.310751239672161
1,90,96,8,180,13,0,0,0,0,2,1,1,1,1,0.2865047968601901,0.2,0.4285714285714286,0.5,0.3139897029964921
1,30,163,8,120,6,1,0,0,0,4,1,1,1,1,0.6065306597126334,0.2,0.029761904761904767,0.25,0.2210875638867988
1,60,83,7,180,19,2,0,0,0,3,1,1,1,1,0.049787068367863944,0.2,0.5059523809523809,0.3333333333333333,0.23387716457987467
5,45,100,6,60,15,2,1,0,0,2,1,1,1,1,0.10539922456186433,1.0,0.40476190476190477,0.75,0.5668738812961699
1,30,162,10,120,17,3,0,1,0,5,1,1,1,1,0.17377394345044514,0.2,0.0357142857142857,0.25,0.17098741156239294
3,120,94,7,120,7,2,0,1,1,1,1,1,1,1,1.0,0.6,0.44047619047619047,1.0,0.6524685367571694
5,60,123,8,180,15,1,0,0,0,2,1,1,1,1,0.17377394345044514,1.0,0.2678571428571429,0.3333333333333333,0.46864993134864197
2,30,88,9,30,7,1,1,0,1,1,1,1,1,1,0.6065306597126334,0.4,0.47619047619047616,1.0,0.5382673234360545
2,90,88,8,90,6,5,0,1,1,5,1,1,1,1,0.6065306597126334,0.4,0.47619047619047616,1.0,0.5235688324839772
2,45,139,6,120,10,6,0,0,1,5,1,1,1,1,0.36787944117144233,0.4,0.17261904761904767,0.375,0.3394126237097864
4,90,165,6,90,8,5,1,0,0,5,1,1,1,1,0.6065306597126334,0.8,0.017857142857142905,1.0,0.45794051984128836
1,90,124,8,180,6,3,0,1,1,4,1,1,1,1,0.6065306597126334,0.2,0.26190476190476186,0.5,0.39703948751634927
2,60,152,7,90,22,2,0,0,0,5,1,1,1,1,0.10539922456186433,0.4,0.09523809523809523,0.6666666666666666,0.22510749510884484
2,90,53,6,180,16,3,1,0,0,0,1,1,1,1,0.0820849986238988,0.4,0.6845238095238095,0.5,0.3619457231058001
2,150,112,6,150,10,6,1,1,0,3,1,1,1,1,0.36787944117144233,0.4,0.33333333333333337,1.0,0.41670926870512415
4,30,122,8,60,18,2,1,0,0,2,1,1,1,1,0.0820849986238988,0.8,0.27380952380952384,0.5,0.41121568648229456
4,60,155,7,90,20,6,1,0,0,3,1,1,1,1,0.06392786120670757,0.8,0.07738095238095233,0.6666666666666666,0.36597007486822264
2,45,103,8,180,7,6,0,0,1,0,1,1,1,1,0.7788007830714049,0.4,0.38690476190476186,0.25,0.49802409283247157
1,120,94,6,120,22,6,1,0,0,3,1,1,1,1,0.1353352832366127,0.2,0.44047619047619047,1.0,0.31878664897947306
5,30,106,7,150,18,0,0,0,0,5,1,1,1,1,0.06392786120670757,1.0,0.36904761904761907,0.2,0.46952157178013443
3,45,67,7,60,13,4,0,1,0,3,1,1,1,1,0.22313016014842982,0.6,0.6011904761904762,0.75,0.46468662297076196
4,150,106,6,180,22,0,0,0,1,3,1,1,1,1,0.1353352832366127,0.8,0.36904761904761907,0.8333333333333334,0.4932505507339956
4,45,69,8,90,9,0,1,0,0,5,1,1,1,1,0.7788007830714049,0.8,0.5892857142857143,0.5,0.6750733426041081
3,60,86,6,90,12,5,0,0,1,1,1,1,1,1,0.22313016014842982,0.6,0.48809523809523814,0.6666666666666666,0.4560503684530894
5,90,151,7,120,17,2,0,0,0,2,1,1,1,1,0.0820849986238988,1.0,0.10119047619047616,0.75,0.3960277931874495
3,45,120,8,60,12,2,1,1,1,2,1,1,1,1,0.36787944117144233,0.6,0.2857142857142857,0.75,0.4876786442557495
4,60,136,9,120,19,3,0,1,0,2,1,1,1,1,0.0820849986238988,0.8,0.19047619047619047,0.5,0.39868634389493157
4,30,133,9,60,13,4,1,0,1,3,1,1,1,1,0.36787944117144233,0.8,0.20833333333333337,0.5,0.4676755026208457
1,30,121,10,60,18,4,0,1,0,0,1,1,1,1,0.1353352832366127,0.2,0.27976190476190477,0.5,0.21956837820738204
5,90,158,11,120,9,0,1,0,0,2,1,1,1,1,0.6065306597126334,1.0,0.059523809523809534,0.75,0.554887327063299
2,30,127,7,180,17,6,1,0,0,1,1,1,1,1,0.0820849986238988,0.4,0.24404761904761907,0.16666666666666666,0.23363551039590724
1,60,159,11,180,10,1,1,0,0,3,1,1,1,1,0.7788007830714049,0.2,0.0535714285714286,0.3333333333333333,0.30395528811683814
4,45,53,7,60,17,0,0,1,0,4,1,1,1,1,0.0820849986238988,0.8,0.6845238095238095,0.75,0.5764594433720668
3,90,96,6,120,12,0,1,1,1,3,1,1,1,1,0.22313016014842982,0.6,0.4285714285714286,0.75,0.4612652432449795
4,120,134,8,120,12,5,0,0,1,1,1,1,1,1,0.36787944117144233,0.8,0.20238095238095233,1.0,0.5255023243422736
1,90,160,9,120,8,3,1,0,0,0,1,1,1,1,0.7788007830714049,0.2,0.04761904761904767,0.75,0.32309071564768616
2,90,128,6,120,21,5,0,0,1,3,1,1,1,1,0.10539922456186433,0.4,0.23809523809523814,0.75,0.31764964968443393
1,30,168,11,180,16,6,1,0,1,1,1,1,1,1,0.2865047968601901,0.2,0.0,0.16666666666666666,0.1865499024136091
1,45,90,7,60,9,3,0,1,1,4,1,1,1,1,0.6065306597126334,0.2,0.4642857142857143,0.75,0.4575649472571241
4,45,83,8,60,16,4,1,0,0,5,1,1,1,1,0.1353352832366127,0.8,0.5059523809523809,0.75,0.5206978178249125
1,60,117,9,150,14,2,0,0,0,2,1,1,1,1,0.2865047968601901,0.2,0.3035714285714286,0.4,0.2805020577657577
4,60,116,8,60,15,4,0,0,0,3,1,1,1,1,0.17377394345044514,0.8,0.30952380952380953,1.0,0.47280590319854987
4,30,124,6,30,21,6,1,0,0,1,1,1,1,1,0.10539922456186433,0.8,0.26190476190476186,1.0,0.4535077514587715
4,45,130,7,150,16,5,0,0,0,2,1,1,1,1,0.10539922456186433,0.8,0.22619047619047616,0.3,0.4159634618460278
1,150,163,7,150,18,2,1,0,0,3,1,1,1,1,0.06392786120670757,0.2,0.029761904761904767,1.0,0.18595841011285166
5,30,149,9,90,7,3,1,0,0,0,1,1,1,1,0.6065306597126334,1.0,0.11309523809523814,0.3333333333333333,0.5530653538725782
2,120,124,6,180,18,4,1,1,1,4,1,1,1,1,0.049787068367863944,0.4,0.26190476190476186,0.6666666666666666,0.26602785961944164
1,60,111,9,90,10,4,1,1,1,5,1,1,1,1,0.7788007830714049,0.2,0.3392857142857143,0.6666666666666666,0.4405398704281876
2,45,137,8,60,18,4,1,0,0,5,1,1,1,1,0.0820849986238988,0.4,0.18452380952380953,0.75,0.254010286117647
1,45,100,8,120,15,5,1,0,1,0,1,1,1,1,0.17377394345044514,0.2,0.40476190476190477,0.375,0.2529784352253555
2,45,51,6,180,10,5,0,1,0,4,1,1,1,1,0.36787944117144233,0.4,0.6964285714285714,0.25,0.495250387617025
4,180,154,9,180,15,5,1,0,0,1,1,1,1,1,0.22313016014842982,0.8,0.08333333333333337,1.0,0.39130996816362756
3,30,111,9,150,15,3,0,0,0,5,1,1,1,1,0.22313016014842982,0.6,0.3392857142857143,0.2,0.4354161471670189
4,120,145,8,180,9,6,0,0,1,4,1,1,1,1,0.7788007830714049,0.8,0.13690476190476186,0.6666666666666666,0.5806930144980218
3,120,122,8,180,11,6,0,0,0,4,1,1,1,1,0.4723665527410147,0.6,0.27380952380952384,0.6666666666666666,0.3968217728770155
3,30,161,11,60,17,4,1,0,0,4,1,1,1,1,0.22313016014842982,0.6,0.04166666666666663,0.5,0.3225549535163403
4,90,97,7,180,18,3,0,0,0,0,1,1,1,1,0.06392786120670757,0.8,0.42261904761904767,0.5,0.46110098680743805
5,30,15,6,180,8,5,0,0,0,4,1,1,1,1,0.6065306597126334,1.0,0.9107142857142857,0.16666666666666666,0.7813279066696556
3,45,157,6,150,20,0,1,0,0,0,1,1,1,1,0.0820849986238988,0.6,0.06547619047619047,0.3,0.23070176849545312
5,60,124,7,120,11,3,1,0,1,4,1,1,1,1,0.36787944117144233,1.0,0.26190476190476186,0.5,0.6137209216586802
1,45,66,7,150,16,0,1,0,0,1,1,1,1,1,0.10539922456186433,0.2,0.6071428571428572,0.3,0.3541713871536885
2,60,109,9,180,15,1,1,0,0,0,1,1,1,1,0.22313016014842982,0.4,0.35119047619047616,0.3333333333333333,0.29756410014941653
1,150,121,6,180,15,3,1,0,0,3,1,1,1,1,0.10539922456186433,0.2,0.27976190476190477,0.8333333333333334,0.24805703685300426
1,30,158,9,120,7,3,0,0,0,1,1,1,1,1,0.6065306597126334,0.2,0.059523809523809534,0.25,0.24520897021810895
3,60,133,10,180,22,1,1,1,0,4,1,1,1,1,0.049787068367863944,0.6,0.20833333333333337,0.3333333333333333,0.33573571833114096
1,120,144,6,180,8,5,1,1,0,3,1,1,1,1,0.6065306597126334,0.2,0.1428571428571429,0.6666666666666666,0.32110731978455986
4,60,143,6,60,19,2,1,1,0,4,1,1,1,1,0.06392786120670757,0.8,0.14880952380952384,1.0,0.38696380088236015
4,30,104,6,45,6,3,1,1,1,0,1,1,1,1,1.0,0.8,0.38095238095238093,0.6666666666666666,0.6896625530489309
2,90,70,7,150,9,5,1,0,1,5,1,1,1,1,0.6065306597126334,0.4,0.5833333333333333,0.6,0.5279432340867057
4,30,124,10,60,13,5,0,1,0,3,1,1,1,1,0.4723665527410147,0.8,0.26190476190476186,0.5,0.49435794063052696
1,45,75,6,180,15,2,1,1,1,0,1,1,1,1,0.10539922456186433,0.2,0.5535714285714286,0.25,0.32172850768104094
1,150,159,9,180,12,6,1,1,0,1,1,1,1,1,0.4723665527410147,0.2,0.0535714285714286,0.8333333333333334,0.26891798975492226
5,30,158,8,90,10,6,0,0,0,1,1,1,1,1,0.6065306597126334,1.0,0.059523809523809534,0.3333333333333333,0.49564159141558717
5,30,63,8,90,20,3,0,0,1,5,1,1,1,1,0.049787068367863944,1.0,0.625,0.3333333333333333,0.626857811266124
4,30,160,7,45,6,0,0,1,1,2,1,1,1,1,0.7788007830714049,0.8,0.04761904761904767,0.6666666666666666,0.539165794266932
4,30,149,11,90,19,3,0,0,1,3,1,1,1,1,0.1353352832366127,0.8,0.11309523809523814,0.3333333333333333,0.3953872509593483
2,45,100,6,60,12,0,0,0,1,5,1,1,1,1,0.22313016014842982,0.4,0.40476190476190477,0.75,0.3837809610398391
2,120,135,9,120,9,1,0,0,1,1,1,1,1,1,1.0,0.4,0.1964285714285714,1.0,0.5451301931623254
1,45,127,7,120,7,2,1,1,0,3,1,1,1,1,1.0,0.2,0.24404761904761907,0.375,0.4258058260831389
2,60,159,7,150,9,3,1,0,0,1,1,1,1,1,0.6065306597126334,0.4,0.0535714285714286,0.4,0.3131761105505429
4,30,124,9,120,10,6,0,0,1,4,1,1,1,1,0.7788007830714049,0.8,0.26190476190476186,0.25,0.6028129188589798
4,30,149,10,30,10,5,0,1,1,5,1,1,1,1,1.0,0.8,0.11309523809523814,1.0,0.6500625715743357
1,30,155,9,30,8,1,0,0,1,2,1,1,1,1,0.7788007830714049,0.2,0.07738095238095233,1.0,0.34633135266214865
2,90,155,10,120,19,3,1,0,0,4,1,1,1,1,0.10539922456186433,0.4,0.07738095238095233,0.75,0.20680779654292739
5,150,84,6,180,8,5,0,0,0,5,1,1,1,1,0.6065306597126334,1.0,0.5,0.8333333333333334,0.7249793472346814
5,30,159,8,60,15,3,0,0,0,4,1,1,1,1,0.17377394345044514,1.0,0.0535714285714286,0.5,0.4272654498209725
5,45,163,12,45,10,0,0,1,1,2,1,1,1,1,0.6065306597126334,1.0,0.029761904761904767,1.0,0.6054024011600901
4,60,128,10,150,17,0,0,0,0,3,1,1,1,1,0.17377394345044514,0.8,0.23809523809523814,0.4,0.3982615495119437
4,60,102,6,180,19,1,1,0,1,0,1,1,1,1,0.06392786120670757,0.8,0.3928571428571429,0.3333333333333333,0.47047471933374463
1,30,117,10,180,8,4,1,0,1,1,1,1,1,1,0.6065306597126334,0.2,0.3035714285714286,0.16666666666666666,0.3418133700918174
4,30,142,11,45,16,4,0,0,0,0,1,1,1,1,0.2865047968601901,0.8,0.15476190476190477,0.6666666666666666,0.426899468550508
2,45,68,8,90,15,4,0,0,0,3,1,1,1,1,0.17377394345044514,0.4,0.5952380952380952,0.5,0.38293881993242646
4,60,125,8,90,18,5,0,0,0,3,1,1,1,1,0.0820849986238988,0.8,0.25595238095238093,0.6666666666666666,0.4324366611911399
2,90,139,9,120,22,5,0,0,0,0,1,1,1,1,0.06392786120670757,0.4,0.17261904761904767,0.75,0.23689781161474974
1,90,93,7,120,14,4,0,0,1,5,1,1,1,1,0.17377394345044514,0.2,0.4464285714285714,0.75,0.24808228685846342
5,90,143,6,90,9,6,0,0,0,2,1,1,1,1,0.4723665527410147,1.0,0.14880952380952384,1.0,0.5562534353058612
4,30,110,6,90,8,6,0,0,1,3,1,1,1,1,0.6065306597126334,0.8,0.34523809523809523,0.3333333333333333,0.5521339547467111
5,60,142,8,60,11,2,1,0,0,4,1,1,1,1,0.4723665527410147,1.0,0.15476190476190477,1.0,0.5788100175409742
3,150,129,7,180,11,3,0,0,0,2,1,1,1,1,0.36787944117144233,0.6,0.2321428571428571,0.8333333333333334,0.434112948661461
5,90,110,9,150,6,4,1,1,1,4,1,1,1,1,0.4723665527410147,1.0,0.34523809523809523,0.6,0.672394309209891
1,150,135,8,150,16,0,0,0,0,4,1,1,1,1,0.1353352832366127,0.2,0.1964285714285714,1.0,0.224742728308089
